id;document;reason;created_by;created_date;last_modified_by;last_modified_date;status
1;green;bandwidth-monitored;calculating;2020-02-25T08:38:46;Nevada;2020-02-24T18:48:01;2758
2;hacking Unbranded Soft Chair;Digitized Auto Loan Account;web-readiness SAS;2020-02-24T12:31:30;Auto Loan Account Accountability Handmade Rubber Ball;2020-02-25T08:47:01;27094
3;Berkshire New Mexico;Intelligent Fresh Cheese;XML Kids;2020-02-25T06:54:35;Accountability;2020-02-24T20:26:31;75504
4;Micronesia;Concrete;Strategist Data;2020-02-24T19:02:35;panel input;2020-02-24T16:33:56;98632
5;Anguilla;Virginia distributed;XSS program;2020-02-24T15:42:36;evolve Engineer;2020-02-24T16:45:27;89024
6;Cliffs Chicken;Avon Cotton;bandwidth Optional SSL;2020-02-25T03:34:51;Savings Account;2020-02-24T22:23:11;60110
7;Computers Games innovate;Supervisor Accountability;benchmark;2020-02-25T02:56:12;maroon;2020-02-25T06:23:30;31996
8;models Shoes;static Small Granite Gloves bypass;Generic Metal Cheese;2020-02-25T01:59:37;Refined Soft Cheese pixel;2020-02-24T23:41:03;27804
9;Concrete connect Key;Computers deposit;Colorado;2020-02-25T05:59:54;Home Loan Account;2020-02-24T21:40:28;36078
10;Guatemala;web services;exuding Vermont middleware;2020-02-24T19:55:10;Refined Technician primary;2020-02-24T11:47:17;56128
